"display_title" "opening_date" "publication_date" "url" "critics_pick" "review" "sentiment_score" "genre.x" "MPAA_rating" "distributor" "production_budget" "opening_weekend" "domestic_total_gross" "foreign_box_office" "widest_release_theaters" "release_date" "close_date" "in_release_days" "in_release_weeks"
For all the tumult surrounding them, the couple remain the focus of the film. The director, Amma Asante (working from a script by Guy Hibbert, who adapted Susan Williams’s 2006 nonfiction book “Colour Bar”), emphasizes this in her staging of the unequivocal and unaffected affection and regard they exchange.
Here, as with her 2014 feature, “Belle,” Ms. Asante addresses contemporary concerns via period romance, and her commitment to the romance is not a feint. At one point the movie shows political unrest churning into violence, and juxtaposes that with a scene of the pregnant Ruth going into labor. Were you to bet that the movie would follow the childbirth thread, you would win.
This is also a very polite film. When, in a moment of frustration, Seretse swipes his arm across his desktop, knocking papers off it, Ms. Asante cuts before a single sheet, or any other object, hits the floor. For all that, the movie depicts the appalling political gamesmanship that conspires to keep Seretse and Ruth apart (including, in a shocking twist, a betrayal by a historical figure who’s almost exclusively lauded in pop-culture portrayals) with consistent clarity. And while her filmmaking style can sometimes come across as staid, her sense of pace is always acute.
The best reason to see “A United Kingdom,” however, is the performance by Mr. Oyelowo, who is also one of the film’s producers. As written by Mr. Hibbert, Seretse Khama is a character of stock wisdom and nobility — on introduction, practically his first words are “I see an Africa that’s about unity, inclusion and equality.” But Mr. Oyelowo, who is one of the best actors working today onstage or onscreen, imbues his portrayal of Seretse (who in 1966 became the democratically elected president of the independent Botswana) with a disarming delicacy and vulnerability that make the strengths he is later forced to show all the more convincing. It is remarkable, genuinely riveting work.
The other actors are also very fine for the most part: Ms. Pike’s Ruth conveys a commanding intelligence, and Vusi Kunene and Terry Pheto are two different kinds of proud in portraying Seretse’s disapproving kin. (Tom Felton, as an underhanded British bureaucrat, seems to be hard pressed to avoid twirling his waxed mustache, on the other hand.) But it’s Mr. Oyelowo who truly makes “A United Kingdom” a deeper, more rewarding film." 0.988863974 "Biography" "PG-13" "Fox Searchlight" "" "$66,510 " "$3,902,185 " "" "2" "30-Jun-00" "" "" NA
"14" "A Woman, a Part" "3/22/2017" "3/21/2017" "http://www.nytimes.com/2017/03/21/movies/a-woman-a-part-review.html" 0 "Unresolved feelings and unsatisfied ambitions animate “A Woman, a Part,” Elisabeth Subrin’s sophisticated take on female friendship and professional frustration.
For Anna (Maggie Siff), the 44-year-old star of a popular, long-running television series in Los Angeles, burnout is imminent. Weakened by an autoimmune disease and weary of her brittle character, she abandons the series and returns to New York City to reconnect with the friends and collaborators who helped spark her career. But a lot can happen in two decades, and Anna is about to learn that the bits of ourselves we leave behind can’t always be reclaimed.
“I feel like you want something from me,” remarks Kate (Cara Seymour), welcoming yet wary. At 50, Kate is no longer an actor and is facing financial and other crises of her own. As is Isaac (John Ortiz), a playwright and the third member of their former theater group. With a teetering marriage and vague future, the gentle Isaac could have seemed a mere go-between for his two circling friends; but Mr. Ortiz is so quietly compelling that he makes Isaac’s modest ambitions feel improbably consequential.
Touching on issues of artistic survival and the porous boundary between work and pleasure, Ms. Subrin, an accomplished visual artist and filmmaker, sifts addiction, celebrity and the plight of the aging actress into something rarefied yet real. A strong, intelligent screen presence, Ms. Siff can make the simplest line feel pregnant with possibility. And Ms. Seymour is the perfect counterpoint, giving Kate a warm vulnerability that’s never overplayed or milked for sentiment.
In the hands of lesser performers — and in defiance of Chris Dapkins’s clear, bright cinematography — this debut feature would feel unbearably hermetic, its navel-gazing angst wearyingly indulgent. The slighting of women in the entertainment industry (one of Ms. Subrin’s central concerns) has been explored in multiple ways in a variety of venues. Yet, as Ms. Siff demonstrates in her own career (she’s currently enjoying her second season as a rivetingly inscrutable performance coach on Showtime’s “Billions”), television now has no shortage of challenging roles for women. Whatever their age.
So to have Anna, a television actress, bemoan the confines of her industry creates an unfortunate disjunct that weakens the narrative and lessens our sympathy. For that reason, “A Woman, a Part” is most effective when picking at the rivalries and resentments that can bloom among longtime friends, illustrating the chasm between our memories and theirs. That void opens slowly, but if you’re patient, it might just pull you in." 0.966482489 "Drama" "Unrated" "Strand" "" "$1,869 " "$6,921 " "$20,625,923 " "2,642" "29-Aug-08" "23-Oct-08" "56" 8
"15" "After Love" "8/9/2017" "8/8/2017" "http://www.nytimes.com/2017/08/08/movies/after-love-review.html" 0 "The Belgian director Joachim Lafosse’s “After Love” is an irritating movie about irritating people. The married Boris and Marie are breaking up but for economic reasons are still sharing the same living space (to which the entire movie is confined; good thing there’s an outdoor patio). They have lovely twin daughters in front of whom they mostly argue — vehemently and with little regard for how these displays will affect the girls. Money is an issue; Marie comes from affluence, while Boris, a contractor who refers to himself as an architect, rarely has any. He incessantly confronts Marie over the labor he’s put into their apartment.
Marie, a narrowly conceived character nevertheless played well by Bérénice Bejo, is uptight and withholding; Boris, by turns warmly bearish and broadly truculent as played by Cédric Kahn, is controlling and manipulative, not to mention aggressively self-pitying. When he responds sympathetically to Marie’s vulnerability, it’s hard to tell if he is being sincere in his affection, or just exploiting a weakness. (Marthe Keller makes a welcome contribution as Marie’s mother, whose voice-of-experience advice to her daughter falls on willfully deaf ears.)
Not unlike an expensively tattooed panhandler, the couple elicit only a skeptical kind of sympathy. The American filmmaker John Cassavetes was able to make this kind of hate-love-hate scenario compulsively watchable (in movies like “A Woman Under the Influence”), partly because he made his characters operatically brash, their actions relentlessly emotionally combustible. “After Love,” written by Mazarine Pingeot, Fanny Burdino and Mr. Lafosse, and originally titled the less evocative but frankly more apt “L’économie du couple,” is too polite by half ever to generate any such sparks." 0.392472647 "Drama" "Unrated" "Distrib Films" "" "$8,576 " "$25,108 " "$8,886,990 " "96" "20-Nov-09" "4-Mar-10" "105" 15
